Name of Workout|My Personalized Workout Description|Need changes??
Standing Calf Raise|Find the standing calf raise machine and place your toes and the ball of your feet on the foot support. Place the shoulder pads against your shoulders and stand upright in the starting position. Now begin to lower yourself down by bending your ankles in a controlled movement. Now to push yourself up by extending your ankles. Repeat for reps.|
Barbell Wrist Curl|Grab a barbell with a underhand grip that is about shoulder width apart, make sure to rest your forearms against your thighs, or alternatively against a bench. Lower your hands towards the floor, and let the barbell roll out into your fingers. Now begin to reverse this motion begin by closing your grip and bending your wrists upwards. Repeat for reps.|
Barbell Wrist Curl Behind the Back|Grab a barbell and hold it behind your back and let your arms hang with the barbell in hand. Now begin to open your hands and let the barbell roll out in your fingers. Now begin to reverse this motion begin by closing your grip and bending your wrists upwards. Repeat for reps.|
Bar Hang|Find a bar in your gym that you can grab onto and hang onto it so your feet don't touch the ground. Now just hang there and you can experiment with relaxed or active shoulders.|
Dumbbell Wrist Curl|Grab a dumbbell with an underhand grip and rest your forearm against your thigh, or alternatively against a bench. Now begin to lower your hand towards the floor, and let the dumbbell roll out into your fingers. Now to reverse this motion begin by closing your grip and bending your wrist upwards.|
Farmers Walk|Step in between two farmers walk-cases, or grab two kettlebells at the same weight. Now grip the handles and and lift the weights. Keep your head looking straight in front of you and begin to move forward in small steps. Increase the stride length as you increase the speed. Try to keep your body in a straight line as you are walking try not to lean excessively forward as you walk. When you are done, lower the weights back to the ground in a controlled manner. Repeat for reps.|
Fat Bar Deadlift|Grab a barbell or bar and step up close to the bar, make sure the bar is sitting just over the middle of your foot. Begin to lean forward and grip the bar, then lift the bar. Try to pull the bar close to your body, all while maintaining a straight back, until you are standing straight. Lower the bar back to the ground with control. Repeat for reps.|
Gripper|Grab a gripper in your gym and hold it so that it is as open as possible, make sure it is not slipping out of your hand. Close the gripper all the way by closing your hand. Return to the starting position and repeat for reps.|
One-Handed Bar Hang|Find a bar in your gym that you can grab onto and hang onto it so that your feet don't touch the ground. Grab a bar with one hand, and hang from it. Start off by hanging with a tensed and active shoulder, and then gradually experiment with hanging with a more relaxed shoulder. Remember to switch which hand you hang from once you finish a set.|
Plate Pinch|Grab a pair of weight plates in a pinching grip. Lift the weight plates off the ground. Hold them for as long as you can, and then put them down in a controlled manner. Remember to switch which hand you grip the plates with as you finish a set.|
Plate Wrist Curl|Grab a small weight plate with a pinching underhand grip and rest your forearm against your thigh, or alternatively against a bench. Begin to lower your hand towards the floor. Now begin to reverse this motion by bending your wrist upwards. Repeat for reps.|
Towel Pull-Up|Lay a pair of towels over a pull-up bar. Grab one towel in each hand. Begin to pull yourself up as high as you can. At the height of your motion begin to lower yourself with control until your arms are fully extended. Repeat for reps.|
Barbell Wrist Extension|Grab a barbell with an overhand grip that is about shoulder width apart, and rest your forearms against your thighs, or alternatively against a bench. Lower your hands towards the floor. Reverse the motion by bending your wrists upwards. Repeat for reps.|
Dumbbell Wrist Extension|Grab a dumbbell with an overhand grip and rest your forearm against your thigh, or alternatively against a bench. Lower your hand towards the floor. Reverse the motion by bending your wrist upwards. Repeat for reps.|
